File number, Database, Animal ID, Site, Mouse strain, Genotype, Gender, Age (months), Schedule name, Schedule run date,Day, Max number of trials, Max schedule time
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabA/LON5C5FAD3MF_cabA/MOUSEBOX-A_LON5C5FAD3MF_5-choice Mouse Habituation 2 v2_23.xml, LON5C5FAD3MF, lt44f088, UWO, 5FAD, t, F,4,5CSRTT_Habituation_2_,3/27/2014,1,0,1200
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabA/LON5C5FAD3MF_cabA/MOUSEBOX-A_LON5C5FAD3MF_5-choice Mouse Habituation 2 v2_31.xml, LON5C5FAD3MF, lt44f088, UWO, 5FAD, t, F,4,5CSRTT_Habituation_2_,3/28/2014,1,0,1200
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabA/LON5C5FAD3MF_cabA/MOUSEBOX-A_LON5C5FAD3MF_5-choice Mouse Habituation 2 v2_39.xml, LON5C5FAD3MF, lt44f088, UWO, 5FAD, t, F,4,5CSRTT_Habituation_2_,4/1/2014,1,0,2400
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabA/LON5C5FAD3MF_cabA/MOUSEBOX-A_LON5C5FAD3MF_5-choice Mouse Initial Touch Training v3_47.xml, LON5C5FAD3MF, lt44f088, UWO, 5FAD, t, F,4, 5CSRTT_Initial_Touch_Training_v3,4/2/2014,1,30,3600
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabA/LON5C5FAD3MF_cabA/MOUSEBOX-A_LON5C5FAD3MF_5-choice Mouse  5-choice Mouse Must Touch Training v2Training v2_55.xml, LON5C5FAD3MF, lt44f088, UWO, 5FAD, t, F,4, 5CSRTT_Must_Touch_Training_v2,4/3/2014,1,30,3600
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabA/LON5C5FAD3MF_cabA/MOUSEBOX-A_LON5C5FAD3MF_5-choice Mouse Must Initiate Training v1_63.xml, LON5C5FAD3MF, lt44f088, UWO, 5FAD, t, F,4, 5CSRTT_Must_Initiate_training,4/4/2014,1,30,3600
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabA/LON5C5FAD3MF_cabA/MOUSEBOX-A_LON5C5FAD3MF_5-Choice Mouse Punish Incorrect Training v3_71.xml, LON5C5FAD3MF, lt44f088, UWO, 5FAD, t, F,4, 5CSRTT_Punish_Incorrect_Training_v3,4/7/2014,1,30,3600
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabA/LON5C5FAD3MF_cabA/MOUSEBOX-A_LON5C5FAD3MF_5-Choice Mouse Punish Incorrect Training v3_79.xml, LON5C5FAD3MF, lt44f088, UWO, 5FAD, t, F,4, 5CSRTT_Punish_Incorrect_Training_v3,4/8/2014,1,30,3600
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabA/LON5C5FAD3MF_cabA/MOUSEBOX-A_LON5C5FAD3MF_5-Choice Mouse Punish Incorrect Training v3_87.xml, LON5C5FAD3MF, lt44f088, UWO, 5FAD, t, F,4, 5CSRTT_Punish_Incorrect_Training_v3,4/9/2014,1,30,3600
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabA/LON5C5FAD3MF_cabA/MOUSEBOX-A_LON5C5FAD3MF_5-Choice Mouse Punish Incorrect Training v3_95.xml, LON5C5FAD3MF, lt44f088, UWO, 5FAD, t, F,4, 5CSRTT_Punish_Incorrect_Training_v3,4/10/2014,1,30,3600
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabA/LON5C5FAD3MF_cabA/MOUSEBOX-A_LON5C5FAD3MF_5-Choice Mouse Punish Incorrect Training v3_103.xml, LON5C5FAD3MF, lt44f088, UWO, 5FAD, t, F,4, 5CSRTT_Punish_Incorrect_Training_v3,4/14/2014,1,30,3600
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabA/LON5C5FAD3MF_cabA/MOUSEBOX-A_LON5C5FAD3MF_5-Choice Mouse Punish Incorrect Training v3_111.xml, LON5C5FAD3MF, lt44f088, UWO, 5FAD, t, F,4, 5CSRTT_Punish_Incorrect_Training_v3,4/15/2014,1,30,3600
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabA/LON5C5FAD3MF_cabA/MOUSEBOX-A_LON5C5FAD3MF_5-Choice Mouse Punish Incorrect Training v3_119.xml, LON5C5FAD3MF, lt44f088, UWO, 5FAD, t, F,4, 5CSRTT_Punish_Incorrect_Training_v3,4/16/2014,1,30,3600
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabA/LON5C5FAD3MF_cabA/MOUSEBOX-A_LON5C5FAD3MF_5-Choice Mouse Punish Incorrect Training v3_127.xml, LON5C5FAD3MF, lt44f088, UWO, 5FAD, t, F,4, 5CSRTT_Punish_Incorrect_Training_v3,4/17/2014,1,30,3600
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabA/LON5C5FAD3MF_cabA/MOUSEBOX-A_LON5C5FAD3MF_5-Choice Mouse Punish Incorrect Training v3_135.xml, LON5C5FAD3MF, lt44f088, UWO, 5FAD, t, F,4, 5CSRTT_Punish_Incorrect_Training_v3,4/21/2014,1,30,3600
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabA/LON5C5FAD3MF_cabA/MOUSEBOX-A_LON5C5FAD3MF_5-Choice Mouse Punish Incorrect Training v3_143.xml, LON5C5FAD3MF, lt44f088, UWO, 5FAD, t, F,4, 5CSRTT_Punish_Incorrect_Training_v3,4/22/2014,1,30,3600
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabA/LON5C5FAD3MF_cabA/MOUSEBOX-A_LON5C5FAD3MF_5-Choice Mouse Punish Incorrect Training v3_151.xml, LON5C5FAD3MF, lt44f088, UWO, 5FAD, t, F,4, 5CSRTT_Punish_Incorrect_Training_v3,4/23/2014,1,30,3600
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabA/LON5C5FAD3MF_cabA/MOUSEBOX-A_LON5C5FAD3MF_5-Choice Mouse Punish Incorrect Training v3_159.xml, LON5C5FAD3MF, lt44f088, UWO, 5FAD, t, F,4, 5CSRTT_Punish_Incorrect_Training_v3,4/24/2014,1,30,3600
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabA/LON5C5FAD3MF_cabA/MOUSEBOX-A_LON5C5FAD3MF_5-Choice Mouse Punish Incorrect Training v3_167.xml, LON5C5FAD3MF, lt44f088, UWO, 5FAD, t, F,4, 5CSRTT_Punish_Incorrect_Training_v3,4/28/2014,1,30,3600
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabA/LON5C5FAD3MF_cabA/MOUSEBOX-A_LON5C5FAD3MF_5-Choice Mouse Punish Incorrect Training v3_175.xml, LON5C5FAD3MF, lt44f088, UWO, 5FAD, t, F,4, 5CSRTT_Punish_Incorrect_Training_v3,4/29/2014,1,30,3600
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabA/LON5C5FAD3MF_cabA/MOUSEBOX-A_LON5C5FAD3MF_5-Choice Mouse Punish Incorrect Training v3_183.xml, LON5C5FAD3MF, lt44f088, UWO, 5FAD, t, F,4, 5CSRTT_Punish_Incorrect_Training_v3,4/30/2014,1,30,3600
/backup/abeddata/LondonData/XML files 5 choice/LON5C_cabA/LON5C5FAD3MF_cabA/MOUSEBOX-A_LON5C5FAD3MF_5-Choice Mouse Punish Incorrect Training v3_191.xml, LON5C5FAD3MF, lt44f088, UWO, 5FAD, t, F,4, 5CSRTT_Punish_Incorrect_Training_v3,5/1/2014,1,30,3600
